week_number,volume,closing_price
950,17395351,17395351
949,12024030,12024030
948,25451478,25451478
947,21004666,21004666
946,21311072,21311072
945,18618365,18618365
944,20343954,20343954
943,16951460,16951460
942,16304020,16304020
941,20021856,20021856
940,23464605,23464605
939,25028049,25028049
938,51127683,51127683
937,21372171,21372171
936,20949699,20949699
935,14934365,14934365
934,21959274,21959274
933,25076217,25076217
932,22842811,22842811
931,18831762,18831762
930,14987102,14987102
929,25701914,25701914
928,38856237,38856237
927,21842492,21842492
926,28170112,28170112
925,51246304,51246304
924,22376145,22376145
923,26160206,26160206
922,10573732,10573732
921,20045931,20045931
920,31101402,31101402
919,20236835,20236835
918,24386604,24386604
917,13728716,13728716
916,23731918,23731918
915,21891991,21891991
914,19467703,19467703
913,28529638,28529638
912,56148944,56148944
911,16128636,16128636
910,12252293,12252293
909,18131168,18131168
908,16890140,16890140
907,24882951,24882951
906,13803467,13803467
905,17765494,17765494
904,15927109,15927109
903,18585485,18585485
902,18161288,18161288
901,16503121,16503121
900,21206630,21206630
899,39223438,39223438
898,15015697,15015697
897,11462576,11462576
896,13465670,13465670
895,18294998,18294998
894,23761609,23761609
893,20653101,20653101
892,13583558,13583558
891,14563625,14563625
890,23606431,23606431
889,28432713,28432713
888,28746997,28746997
887,22585454,22585454
886,22353091,22353091
885,15162492,15162492
884,20657952,20657952
883,15949938,15949938
882,16816026,16816026
881,20678038,20678038
880,18283618,18283618
879,14713309,14713309
878,13082284,13082284
877,15587334,15587334
876,15458288,15458288
875,16952754,16952754
874,24898161,24898161
873,26891514,26891514
872,16710843,16710843
871,11943248,11943248
870,7770697,7770697
869,13209502,13209502
868,23953742,23953742
867,17154330,17154330
866,19370850,19370850
865,11269212,11269212
864,16168917,16168917
863,25292112,25292112
862,15168515,15168515
861,16009359,16009359
860,31731091,31731091
859,15614452,15614452
858,11417766,11417766
857,15801644,15801644
856,12476162,12476162
855,21990587,21990587
854,15009419,15009419
853,11286596,11286596
852,13571765,13571765
851,14873739,14873739
850,19554950,19554950
849,15067283,15067283
848,13747991,13747991
847,24775973,24775973
846,18535456,18535456
845,10213227,10213227
844,19155814,19155814
843,22214411,22214411
842,15849580,15849580
841,14920842,14920842
840,13470239,13470239
839,14910875,14910875
838,16406443,16406443
837,17034303,17034303
836,21059912,21059912
835,16956550,16956550
834,37688644,37688644
833,17443203,17443203
832,18417556,18417556
831,20439783,20439783
830,17611709,17611709
829,29886417,29886417
828,23556160,23556160
827,22557187,22557187
826,20763400,20763400
825,23958762,23958762
824,32025579,32025579
823,25527891,25527891
822,27278749,27278749
821,44203492,44203492
820,29470082,29470082
819,25251873,25251873
818,13538507,13538507
817,16540309,16540309
816,27823388,27823388
815,21354563,21354563
814,22935841,22935841
813,13199481,13199481
812,21083793,21083793
811,25069755,25069755
810,21526383,21526383
809,34698762,34698762
808,42068316,42068316
807,17455488,17455488
806,19465122,19465122
805,19914471,19914471
804,16815584,16815584
803,20721826,20721826
802,13916382,13916382
801,21421138,21421138
800,32508092,32508092
799,19846207,19846207
798,17165086,17165086
797,20138504,20138504
796,15380412,15380412
795,37075256,37075256
794,17138495,17138495
793,18143986,18143986
792,12979210,12979210
791,20939777,20939777
790,20761376,20761376
789,18364270,18364270
788,13868111,13868111
787,12435919,12435919
786,11939607,11939607
785,13435074,13435074
784,16793441,16793441
783,21874751,21874751
782,35436301,35436301
781,17532781,17532781
780,13917063,13917063
779,16765545,16765545
778,23569213,23569213
777,25684872,25684872
776,26135448,26135448
775,21117049,21117049
774,22941227,22941227
773,14108892,14108892
772,18164756,18164756
771,22439830,22439830
770,32927307,32927307
769,31230797,31230797
768,23272056,23272056
767,24440360,24440360
766,15698987,15698987
765,12508916,12508916
764,34588770,34588770
763,23397756,23397756
762,20945441,20945441
761,17053892,17053892
760,22273217,22273217
759,20088151,20088151
758,20603321,20603321
757,27342119,27342119
756,69701346,69701346
755,24355568,24355568
754,15795271,15795271
753,14352364,14352364
752,16209901,16209901
751,20044000,20044000
750,12878100,12878100
749,9627700,9627700
748,11487700,11487700
747,11074800,11074800
746,10927100,10927100
745,14770900,14770900
744,19838900,19838900
743,19580700,19580700
742,34217100,34217100
741,14983700,14983700
740,18382300,18382300
739,17703900,17703900
738,24186800,24186800
737,18143900,18143900
736,14243300,14243300
735,15895800,15895800
734,14066100,14066100
733,19407200,19407200
732,13925300,13925300
731,21195300,21195300
730,22312800,22312800
729,30565200,30565200
728,30598500,30598500
727,29036500,29036500
726,35465000,35465000
725,30821100,30821100
724,24057200,24057200
723,20103400,20103400
722,20734000,20734000
721,19774200,19774200
720,21312600,21312600
719,25234000,25234000
718,25559900,25559900
717,38736900,38736900
716,27635300,27635300
715,22947500,22947500
714,15248000,15248000
713,12400800,12400800
712,32267100,32267100
711,21870800,21870800
710,24816100,24816100
709,20384900,20384900
708,25637400,25637400
707,25682800,25682800
706,25635300,25635300
705,25853600,25853600
704,29861500,29861500
703,45663100,45663100
702,20859700,20859700
701,16351900,16351900
700,15079700,15079700
699,22379100,22379100
698,18194900,18194900
697,11856200,11856200
696,15052200,15052200
695,14564700,14564700
694,16580500,16580500
693,20128300,20128300
692,15338600,15338600
691,14719100,14719100
690,31679400,31679400
689,20715900,20715900
688,12378100,12378100
687,25092600,25092600
686,22773400,22773400
685,14580500,14580500
684,17768500,17768500
683,16799600,16799600
682,20259100,20259100
681,21587300,21587300
680,18700700,18700700
679,26809200,26809200
678,27976600,27976600
677,35696400,35696400
676,15273700,15273700
675,16247600,16247600
674,12516100,12516100
673,18085500,18085500
672,23433000,23433000
671,18680900,18680900
670,19419000,19419000
669,13744500,13744500
668,14498300,14498300
667,16419900,16419900
666,15901300,15901300
665,27508900,27508900
664,19748400,19748400
663,16589700,16589700
662,15943900,15943900
661,11911900,11911900
660,24598600,24598600
659,19274500,19274500
658,18850300,18850300
657,21119100,21119100
656,15826300,15826300
655,18951000,18951000
654,17977200,17977200
653,14071200,14071200
652,19824000,19824000
651,37283100,37283100
650,15209500,15209500
649,17786100,17786100
648,17962400,17962400
647,24867400,24867400
646,19339300,19339300
645,15172300,15172300
644,13113600,13113600
643,14140300,14140300
642,12373700,12373700
641,12376100,12376100
640,14944000,14944000
639,18795600,18795600
638,31507600,31507600
637,22998800,22998800
636,11920500,11920500
635,18637100,18637100
634,23194300,23194300
633,19518700,19518700
632,18002600,18002600
631,21714900,21714900
630,17970000,17970000
629,22381000,22381000
628,17219400,17219400
627,14699600,14699600
626,20048100,20048100
625,30566700,30566700
624,17522600,17522600
623,15692400,15692400
622,16007300,16007300
621,17132200,17132200
620,25846100,25846100
619,21823600,21823600
618,19330600,19330600
617,17955300,17955300
616,17149800,17149800
615,18144100,18144100
614,22703600,22703600
613,22822200,22822200
612,32020900,32020900
611,26633200,26633200
610,19352900,19352900
609,12119700,12119700
608,27166800,27166800
607,30186100,30186100
606,24142900,24142900
605,25843600,25843600
604,16357400,16357400
603,25522100,25522100
602,20903100,20903100
601,22918900,22918900
600,28719000,28719000
599,46796000,46796000
598,26220900,26220900
597,38117800,38117800
596,36868400,36868400
595,31790500,31790500
594,33464200,33464200
593,25328900,25328900
592,26288300,26288300
591,33789200,33789200
590,47511700,47511700
589,56678700,56678700
588,41229200,41229200
587,26294400,26294400
586,37500900,37500900
585,23838300,23838300
584,20777900,20777900
583,23400700,23400700
582,22978000,22978000
581,29385600,29385600
580,20640600,20640600
579,23342600,23342600
578,22718600,22718600
577,25997900,25997900
576,23498700,23498700
575,29465600,29465600
574,26858900,26858900
573,29758000,29758000
572,22168000,22168000
571,17602700,17602700
570,19066300,19066300
569,25371800,25371800
568,41798000,41798000
567,31095800,31095800
566,21537300,21537300
565,21433300,21433300
564,18590000,18590000
563,26097300,26097300
562,25371100,25371100
561,32502900,32502900
560,35766800,35766800
559,19878500,19878500
558,23486200,23486200
557,14684300,14684300
556,13585400,13585400
555,28194800,28194800
554,21020900,21020900
553,28622500,28622500
552,15256400,15256400
551,24207800,24207800
550,24816000,24816000
549,27101400,27101400
548,32583300,32583300
547,41753800,41753800
546,31299400,31299400
545,26027000,26027000
544,30834900,30834900
543,28357000,28357000
542,29966700,29966700
541,16686200,16686200
540,25097500,25097500
539,28851700,28851700
538,24839400,24839400
537,27721100,27721100
536,26753600,26753600
535,29087100,29087100
534,45328500,45328500
533,30691500,30691500
532,22776300,22776300
531,39925900,39925900
530,35729700,35729700
529,34958900,34958900
528,36446000,36446000
527,31155200,31155200
526,40594400,40594400
525,52738700,52738700
524,52007600,52007600
523,43103500,43103500
522,35378000,35378000
521,46345200,46345200
520,35328700,35328700
519,24394000,24394000
518,17954900,17954900
517,31453700,31453700
516,32679700,32679700
515,33736000,33736000
514,29153500,29153500
513,23624900,23624900
512,24433700,24433700
511,30088800,30088800
510,35063800,35063800
509,42786400,42786400
508,48810900,48810900
507,35873500,35873500
506,28639800,28639800
505,18075000,18075000
504,18700700,18700700
503,34452500,34452500
502,29242700,29242700
501,30307700,30307700
500,19106900,19106900
499,23482700,23482700
498,31065000,31065000
497,30790900,30790900
496,38785400,38785400
495,36292000,36292000
494,55978800,55978800
493,37825500,37825500
492,37380100,37380100
491,26232600,26232600
490,40859700,40859700
489,21828700,21828700
488,25309900,25309900
487,26123700,26123700
486,27622200,27622200
485,25401100,25401100
484,27893800,27893800
483,28085700,28085700
482,42520000,42520000
481,58793700,58793700
480,34208000,34208000
479,24758400,24758400
478,30871700,30871700
477,42930700,42930700
476,38913000,38913000
475,35592300,35592300
474,27330100,27330100
473,34599500,34599500
472,42229200,42229200
471,42691700,42691700
470,46394300,46394300
469,59469300,59469300
468,41711800,41711800
467,32887100,32887100
466,64912500,64912500
465,60950700,60950700
464,63330900,63330900
463,61831600,61831600
462,74483600,74483600
461,77805700,77805700
460,42419500,42419500
459,49132900,49132900
458,53659500,53659500
457,50819300,50819300
456,61309500,61309500
455,48180000,48180000
454,41092400,41092400
453,26062900,26062900
452,18974200,18974200
451,50128100,50128100
450,49785100,49785100
449,51454000,51454000
448,39691800,39691800
447,73411500,73411500
446,58194400,58194400
445,47015300,47015300
444,60537100,60537100
443,58306900,58306900
442,75048600,75048600
441,86848900,86848900
440,62809100,62809100
439,34730600,34730600
438,66307100,66307100
437,46783800,46783800
436,42011600,42011600
435,30493600,30493600
434,34457400,34457400
433,32724200,32724200
432,34413900,34413900
431,28699300,28699300
430,45950300,45950300
429,59542700,59542700
428,47346100,47346100
427,32716800,32716800
426,41907700,41907700
425,35367900,35367900
424,31303600,31303600
423,35309300,35309300
422,33079200,33079200
421,31469600,31469600
420,40848500,40848500
419,38973400,38973400
418,36106300,36106300
417,32273700,32273700
416,67195200,67195200
415,38989700,38989700
414,42376300,42376300
413,41496800,41496800
412,39979100,39979100
411,48594600,48594600
410,39506500,39506500
409,54366700,54366700
408,31292600,31292600
407,33932900,33932900
406,40641500,40641500
405,39007500,39007500
404,57768700,57768700
403,78126300,78126300
402,52601500,52601500
401,33799300,33799300
400,16539900,16539900
399,43481700,43481700
398,36725700,36725700
397,31672000,31672000
396,46569900,46569900
395,27820500,27820500
394,50102700,50102700
393,62718300,62718300
392,30044700,30044700
391,32762600,32762600
390,53958800,53958800
389,35082300,35082300
388,33529800,33529800
387,33029400,33029400
386,38076800,38076800
385,32211300,32211300
384,28916300,28916300
383,32617900,32617900
382,39957700,39957700
381,55388900,55388900
380,41626500,41626500
379,66192100,66192100
378,64841000,64841000
377,55626100,55626100
376,34811600,34811600
375,24567300,24567300
374,31559100,31559100
373,35051000,35051000
372,34517000,34517000
371,63185700,63185700
370,23208200,23208200
369,30271700,30271700
368,35014200,35014200
367,34979100,34979100
366,38307800,38307800
365,58275300,58275300
364,51786700,51786700
363,27497000,27497000
362,19197800,19197800
361,34042800,34042800
360,26906600,26906600
359,36423000,36423000
358,43505100,43505100
357,52427400,52427400
356,20682500,20682500
355,27047900,27047900
354,34668400,34668400
353,34172300,34172300
352,41549100,41549100
351,58474800,58474800
350,44830200,44830200
349,26942600,26942600
348,15807900,15807900
347,24009800,24009800
346,30414900,30414900
345,28792200,28792200
344,27785200,27785200
343,13559900,13559900
342,23826600,23826600
341,29456500,29456500
340,30108500,30108500
339,35037300,35037300
338,67866100,67866100
337,26864000,26864000
336,25738600,25738600
335,25658300,25658300
334,30290000,30290000
333,27425800,27425800
332,16108000,16108000
331,22236900,22236900
330,18060100,18060100
329,29303900,29303900
328,19054700,19054700
327,20900500,20900500
326,25666400,25666400
325,50614500,50614500
324,37325800,37325800
323,18199800,18199800
322,26797500,26797500
321,27070000,27070000
320,33150500,33150500
319,40341000,40341000
318,23532800,23532800
317,26222700,26222700
316,28629900,28629900
315,22319900,22319900
314,24540000,24540000
313,36485300,36485300
312,35449300,35449300
311,18292300,18292300
310,23780100,23780100
309,23139800,23139800
308,25547800,25547800
307,25173700,25173700
306,23708100,23708100
305,23693200,23693200
304,20014900,20014900
303,26994200,26994200
302,32826100,32826100
301,33566000,33566000
300,32471000,32471000
299,34792500,34792500
298,30173200,30173200
297,36958200,36958200
296,17622000,17622000
295,27298200,27298200
294,39305300,39305300
293,26427900,26427900
292,25765400,25765400
291,18193100,18193100
290,30719600,30719600
289,21762600,21762600
288,31154000,31154000
287,25793400,25793400
286,39286100,39286100
285,36349300,36349300
284,30921800,30921800
283,30116700,30116700
282,31701800,31701800
281,25110400,25110400
280,18681300,18681300
279,25171500,25171500
278,22210500,22210500
277,22885800,22885800
276,22568800,22568800
275,22265700,22265700
274,24382900,24382900
273,45014200,45014200
272,45662500,45662500
271,37388800,37388800
270,30677800,30677800
269,33289800,33289800
268,33568000,33568000
267,24804200,24804200
266,23975100,23975100
265,24899800,24899800
264,34306900,34306900
263,33727100,33727100
262,39063200,39063200
261,51112000,51112000
260,70090000,70090000
259,62144400,62144400
258,27677900,27677900
257,25553000,25553000
256,18904100,18904100
255,25767500,25767500
254,24562700,24562700
253,22028900,22028900
252,18680300,18680300
251,20002800,20002800
250,21103700,21103700
249,19731000,19731000
248,27667500,27667500
247,28556000,28556000
246,26060300,26060300
245,27415300,27415300
244,17501200,17501200
243,18152400,18152400
242,27720400,27720400
241,26952800,26952800
240,29413700,29413700
239,17298900,17298900
238,27259900,27259900
237,28090600,28090600
236,30762600,30762600
235,27890400,27890400
234,39927800,39927800
233,24456500,24456500
232,21303400,21303400
231,22465000,22465000
230,23167900,23167900
229,23207800,23207800
228,17994900,17994900
227,17286100,17286100
226,16955800,16955800
225,21524300,21524300
224,26196900,26196900
223,20815300,20815300
222,22923000,22923000
221,28063300,28063300
220,35836700,35836700
219,26209600,26209600
218,21510400,21510400
217,22021500,22021500
216,22426400,22426400
215,18366900,18366900
214,15611800,15611800
213,20742800,20742800
212,26694400,26694400
211,31619400,31619400
210,25650700,25650700
209,26790300,26790300
208,26094200,26094200
207,31404700,31404700
206,16201400,16201400
205,25046900,25046900
204,27482700,27482700
203,27477500,27477500
202,32862500,32862500
201,21755500,21755500
200,25680600,25680600
199,19898100,19898100
198,20479500,20479500
197,31683700,31683700
196,30864500,30864500
195,25889600,25889600
194,48592000,48592000
193,28694600,28694600
192,18092000,18092000
191,11178100,11178100
190,33482600,33482600
189,30943400,30943400
188,27735300,27735300
187,15370200,15370200
186,25235500,25235500
185,28880700,28880700
184,28479700,28479700
183,28610800,28610800
182,29376600,29376600
181,47597600,47597600
180,27727600,27727600
179,35612700,35612700
178,34494900,34494900
177,42039300,42039300
176,41601200,41601200
175,41027800,41027800
174,24293600,24293600
173,30615500,30615500
172,22220100,22220100
171,30290600,30290600
170,34886500,34886500
169,33171000,33171000
168,45286100,45286100
167,32242400,32242400
166,22755900,22755900
165,27829700,27829700
164,37484300,37484300
163,41268000,41268000
162,69955400,69955400
161,26786400,26786400
160,32835800,32835800
159,38800700,38800700
158,35257500,35257500
157,39359000,39359000
156,36064700,36064700
155,42212300,42212300
154,39935800,39935800
153,46339300,46339300
152,42576300,42576300
151,58133300,58133300
150,48104400,48104400
149,32954000,32954000
148,39649300,39649300
147,26970500,26970500
146,41674400,41674400
145,37378500,37378500
144,42173800,42173800
143,34478700,34478700
142,53450200,53450200
141,50004000,50004000
140,29764800,29764800
139,20460800,20460800
138,36539200,36539200
137,37355200,37355200
136,41270300,41270300
135,28402500,28402500
134,45101100,45101100
133,49429400,49429400
132,52109900,52109900
131,56125400,56125400
130,51727300,51727300
129,72253200,72253200
128,67066500,67066500
127,60869200,60869200
126,59368300,59368300
125,59733100,59733100
124,29374700,29374700
123,24168200,24168200
122,31535800,31535800
121,37599000,37599000
120,42544100,42544100
119,38896400,38896400
118,50523500,50523500
117,64004300,64004300
116,59368700,59368700
115,50325700,50325700
114,37781700,37781700
113,56342200,56342200
112,51132700,51132700
111,45826900,45826900
110,37678900,37678900
109,21571900,21571900
108,25012600,25012600
107,37347700,37347700
106,61363200,61363200
105,42862500,42862500
104,31976500,31976500
103,51860900,51860900
102,110897800,110897800
101,36348600,36348600
100,25371800,25371800
99,25381100,25381100
98,42307200,42307200
97,47715500,47715500
96,51947900,51947900
95,48524400,48524400
94,39939500,39939500
93,35602600,35602600
92,55992100,55992100
91,38030400,38030400
90,50634800,50634800
89,31815400,31815400
88,27402400,27402400
87,13450200,13450200
86,34859100,34859100
85,36439000,36439000
84,45132800,45132800
83,29636100,29636100
82,17282200,17282200
81,36592100,36592100
80,37385000,37385000
79,37116500,37116500
78,43172300,43172300
77,63537500,63537500
76,48258400,48258400
75,46507700,46507700
74,61809500,61809500
73,75868900,75868900
72,10311500,10311500
71,41322600,41322600
70,38331400,38331400
69,33343800,33343800
68,29688900,29688900
67,26622100,26622100
66,25049100,25049100
65,32638300,32638300
64,48299000,48299000
63,45082800,45082800
62,25362500,25362500
61,35230300,35230300
60,33926900,33926900
59,39520000,39520000
58,29113600,29113600
57,27279700,27279700
56,34172800,34172800
55,32527500,32527500
54,37758700,37758700
53,40113600,40113600
52,38874700,38874700
